City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tezu,IN,2022-12-10 04:22:26,27.9167,96.1667,74.84,33,1,3.49
68,Carnarvon,AU,2022-12-10 04:22:26,-24.8667,113.6333,76.12,47,0,14.97
69,Igdir,TR,2022-12-10 04:22:27,39.9237,44.045,39.13,87,75,3.44
70,Paamiut,GL,2022-12-10 04:22:28,61.994,-49.6678,23.29,72,10,14.16
71,Saint-Philippe,RE,2022-12-10 04:19:45,-21.3585,55.7679,80.19,85,21,11.48
72,Ribeira Grande,PT,2022-12-10 04:19:31,38.5167,-28.7,65.77,94,92,17.0
73,Wanning,CN,2022-12-10 04:22:29,18.8003,110.3967,74.71,65,46,12.84
74,Cape Town,ZA,2022-12-10 04:20:05,-33.9258,18.4232,67.1,88,20,6.91
75,Khasan,RU,2022-12-10 04:22:29,42.4308,130.6434,32.43,37,7,15.61
76,Victoria,HK,2022-12-10 04:21:40,22.2855,114.1577,73.26,73,3,3.0
77,Kodinsk,RU,2022-12-10 04:22:30,58.6881,99.1844,9.91,91,100,9.6
78,Challapata,BO,2022-12-10 04:22:31,-18.9,-66.7667,52.88,60,93,4.83
79,Bethel,US,2022-12-10 04:22:32,41.3712,-73.414,34.47,64,0,1.01
80,Airai,TL,2022-12-10 04:22:32,-8.9266,125.4092,80.17,36,99,5.79
81,Flin Flon,CA,2022-12-10 04:22:33,54.7682,-101.865,12.87,95,100,6.6
82,Xichang,CN,2022-12-10 04:22:34,27.8964,102.2634,57.99,48,0,2.82
83,Gat,IL,2022-12-10 04:22:34,31.61,34.7642,56.39,69,0,1.7
84,Carballo,ES,2022-12-10 04:22:35,43.213,-8.691,47.86,81,84,5.88
85,Hambantota,LK,2022-12-10 04:22:35,6.1241,81.1185,80.64,80,97,16.2
86,Thompson,CA,2022-12-10 04:15:20,55.7435,-97.8558,14.16,85,75,5.75
87,Itamaraca,BR,2022-12-10 04:22:36,-7.7478,-34.8256,78.85,82,54,8.61
88,Lidkoping,SE,2022-12-10 04:22:37,58.5052,13.1577,23.02,84,100,4.92
89,Progreso,MX,2022-12-10 04:22:37,21.2833,-89.6667,74.1,75,0,12.41
90,Ossora,RU,2022-12-10 04:22:38,59.2353,163.0719,12.15,74,100,6.98
91,Oskemen,KZ,2022-12-10 04:22:39,49.9565,82.6119,-9.08,76,75,2.24
92,Quatre Cocos,MU,2022-12-10 04:22:39,-20.2078,57.7625,77.11,78,19,10.49
93,Marsh Harbour,BS,2022-12-10 04:22:40,26.5412,-77.0636,75.94,69,35,12.15
94,Qaanaaq,GL,2022-12-10 04:19:44,77.484,-69.3632,8.01,89,100,3.0
95,Kaitangata,NZ,2022-12-10 04:23:40,-46.2817,169.8464,54.55,96,64,3.47
96,Makubetsu,JP,2022-12-10 04:23:41,45.3714,141.8211,29.91,86,75,25.32
97,Gambela,ET,2022-12-10 04:23:42,8.25,34.5833,72.54,79,50,3.15
98,Touros,BR,2022-12-10 04:23:42,-5.1989,-35.4608,77.94,81,24,10.65
99,Cherskiy,RU,2022-12-10 04:23:43,68.75,161.3,-29.61,100,52,3.83
100,Talnakh,RU,2022-12-10 04:23:44,69.4865,88.3972,-23.53,93,39,1.97
101,Manzanillo,CU,2022-12-10 04:23:44,20.3433,-77.1167,68.54,79,0,9.57
102,Elko,US,2022-12-10 04:23:45,41.0002,-115.5012,25.23,90,100,1.01
103,Upernavik,GL,2022-12-10 04:19:29,72.7868,-56.1549,33.08,70,100,22.39
104,Aykhal,RU,2022-12-10 04:23:45,66.0,111.5,-29.04,100,99,6.55
105,Busselton,AU,2022-12-10 04:23:46,-33.65,115.3333,69.53,42,97,7.83
106,Pangnirtung,CA,2022-12-10 04:23:46,66.1451,-65.7125,4.26,99,100,3.33
107,Abha,SA,2022-12-10 04:23:47,18.2164,42.5053,49.82,93,2,0.0
108,Husavik,IS,2022-12-10 04:23:48,66.0449,-17.3389,30.16,82,99,1.72
109,Santa Catarina De Tepehuanes,MX,2022-12-10 04:23:48,25.35,-105.7333,51.57,48,0,5.48
110,Cabinuangan,PH,2022-12-10 04:23:49,7.6833,126.0333,84.76,71,100,4.52
111,Kapaa,US,2022-12-10 04:19:28,22.0752,-159.319,80.58,73,40,17.27
112,Puerto Leguizamo,CO,2022-12-10 04:23:50,-0.1934,-74.7819,71.62,91,62,2.59
113,Borkenes,NO,2022-12-10 04:23:50,68.774,16.1739,22.55,100,0,4.72
114,Puerto Madero,MX,2022-12-10 04:23:51,14.7208,-92.4215,71.8,100,0,0.0
115,Saint George,US,2022-12-10 04:21:52,37.1041,-113.5841,41.95,64,0,3.0
116,Viedma,AR,2022-12-10 04:23:51,-40.8135,-62.9967,64.6,50,3,9.04
117,Xianyang,CN,2022-12-10 04:23:52,34.3378,108.7026,47.14,28,0,11.18
118,Charleston,US,2022-12-10 04:22:24,32.7766,-79.9309,56.01,96,100,6.91
119,Ueda,JP,2022-12-10 04:23:53,36.4,138.2667,54.0,40,0,3.87
120,Grindavik,IS,2022-12-10 04:23:54,63.8424,-22.4338,27.07,80,0,9.22
121,Tuktoyaktuk,CA,2022-12-10 04:19:34,69.4541,-133.0374,-7.6,77,40,8.05
122,Bathsheba,BB,2022-12-10 04:23:55,13.2167,-59.5167,73.06,92,20,6.91
123,Lebu,CL,2022-12-10 04:23:55,-37.6167,-73.65,56.73,85,100,8.21
124,Asau,RO,2022-12-10 04:23:56,46.4333,26.4,38.32,80,100,5.37
125,Bismarck,US,2022-12-10 04:23:01,46.8083,-100.7837,26.44,90,20,9.22
126,Kahului,US,2022-12-10 04:22:58,20.8947,-156.47,75.85,73,40,17.27
127,Cockburn Town,TC,2022-12-10 04:23:01,21.4612,-71.1419,76.95,66,17,12.01
128,Caucaia,BR,2022-12-10 04:23:57,-3.7361,-38.6531,80.55,76,40,9.22
129,Erenhot,CN,2022-12-10 04:23:58,43.6475,111.9767,13.57,45,0,14.43
130,Avarua,CK,2022-12-10 04:23:58,-21.2078,-159.775,77.05,83,75,10.36
131,Nova Granada,BR,2022-12-10 04:23:59,-20.5339,-49.3142,79.05,64,100,6.82
132,Ilhabela,BR,2022-12-10 04:24:00,-23.7781,-45.3581,71.46,89,84,4.81
133,Bambous Virieux,MU,2022-12-10 04:24:00,-20.3428,57.7575,77.25,83,40,14.97
134,Lazarev,RU,2022-12-10 04:24:01,52.225,141.5131,4.06,86,95,4.36
135,Saint-Joseph,RE,2022-12-10 04:24:01,-21.3667,55.6167,79.18,81,26,10.22
136,Wuwei,CN,2022-12-10 04:24:02,37.9281,102.6414,24.46,46,44,5.12
137,Petionville,HT,2022-12-10 04:24:02,18.5125,-72.2853,74.89,65,40,3.44
138,Iqaluit,CA,2022-12-10 04:19:27,63.7506,-68.5145,-7.87,77,75,16.11
139,Fort Nelson,CA,2022-12-10 04:25:03,58.8053,-122.7002,-2.61,77,100,5.75
140,Bilibino,RU,2022-12-10 04:25:04,68.0546,166.4372,-21.39,100,94,4.99
141,Aswan,EG,2022-12-10 04:25:04,24.0934,32.907,63.01,34,0,8.97
142,Royan,FR,2022-12-10 04:25:05,45.6285,-1.0281,30.78,88,6,9.98
143,Comarapa,BO,2022-12-10 04:25:06,-17.9,-64.4833,59.09,96,79,3.42
144,Anadyr,RU,2022-12-10 04:25:06,64.75,177.4833,12.7,72,40,4.47
145,Saskylakh,RU,2022-12-10 04:25:07,71.9167,114.0833,-14.04,100,99,3.83
146,Tuatapere,NZ,2022-12-10 04:25:07,-46.1333,167.6833,59.0,86,100,7.49
147,Yulara,AU,2022-12-10 04:21:32,-25.2406,130.9889,102.56,16,34,16.82
148,Kletskaya,RU,2022-12-10 04:25:08,49.3145,43.0584,25.88,86,62,18.43
149,Ojinaga,MX,2022-12-10 04:25:09,29.5667,-104.4167,67.15,77,0,8.05
150,Makakilo City,US,2022-12-10 04:25:09,21.3469,-158.0858,75.52,66,0,20.71
151,Provideniya,RU,2022-12-10 04:25:10,64.3833,-173.3,21.9,87,99,6.4
152,Zhangye,CN,2022-12-10 04:25:11,38.9342,100.4517,27.45,43,98,4.18
153,Bandarbeyla,SO,2022-12-10 04:25:11,9.4942,50.8122,75.45,67,100,17.65
