City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Puerto Ayora,EC,2022-12-09 18:26:58,-0.7393,-90.3518,80.56,88,66,7.0,broken clouds
60,Dzitas,MX,2022-12-09 18:26:59,20.85,-88.5167,82.44,38,10,5.93,clear sky
61,Xai-Xai,MZ,2022-12-09 18:26:59,-25.0519,33.6442,76.55,81,43,8.72,scattered clouds
62,Severo-Kurilsk,RU,2022-12-09 18:27:00,50.6789,156.125,27.43,64,99,21.88,overcast clouds
63,Saskylakh,RU,2022-12-09 18:27:00,71.9167,114.0833,-23.03,99,88,5.14,overcast clouds
64,Areka,ET,2022-12-09 18:27:01,7.0667,37.7,65.07,38,39,6.87,scattered clouds
65,Albany,US,2022-12-09 18:24:26,42.6001,-73.9662,39.67,53,15,1.01,few clouds
66,Ancud,CL,2022-12-09 18:27:01,-41.8697,-73.8203,59.79,71,10,10.49,clear sky
67,Vanimo,PG,2022-12-09 18:27:02,-2.6741,141.3028,77.0,89,100,3.78,heavy intensity rain
68,Port Lincoln,AU,2022-12-09 18:27:02,-34.7333,135.8667,64.81,73,85,11.18,overcast clouds
69,Qaanaaq,GL,2022-12-09 18:27:03,77.484,-69.3632,0.41,89,90,5.19,overcast clouds
70,Salalah,OM,2022-12-09 18:27:03,17.0151,54.0924,75.29,64,0,3.44,clear sky
71,Tucuman,AR,2022-12-09 18:25:30,-26.8241,-65.2226,107.6,21,75,12.66,broken clouds
72,Harrison,US,2022-12-09 18:27:04,30.4091,-89.0436,73.47,77,100,5.75,overcast clouds
73,Constitucion,CL,2022-12-09 18:20:15,-35.3333,-72.4167,69.37,66,37,15.1,scattered clouds
74,Bloemfontein,ZA,2022-12-09 18:27:04,-29.1211,26.214,65.68,68,0,5.75,light rain
75,Mahebourg,MU,2022-12-09 18:27:05,-20.4081,57.7,77.29,78,40,9.22,light rain
76,Ilinskiy,RU,2022-12-09 18:27:05,55.619,38.1182,25.14,93,100,4.47,overcast clouds
77,Manaure,CO,2022-12-09 18:27:06,11.7751,-72.4445,82.15,65,59,13.42,broken clouds
78,Strezhevoy,RU,2022-12-09 18:27:07,60.7333,77.5889,-22.27,94,15,7.56,few clouds
79,Atbasar,KZ,2022-12-09 18:27:07,51.8,68.3333,2.48,92,83,6.55,broken clouds
80,Dunmore Town,BS,2022-12-09 18:27:08,25.5,-76.65,75.02,69,0,8.9,clear sky
81,Rubio,VE,2022-12-09 18:24:24,7.7013,-72.3557,72.45,56,61,0.34,broken clouds
