City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Mucurapo,TT,84.25,overcast clouds,10.6667,-61.5333,Liam's guest House
256,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,No hotel found
258,Galle,LK,78.51,light rain,6.0367,80.217,Jungle Hostel Villa
261,Campos Belos,BR,76.19,moderate rain,-13.0367,-46.7717,No hotel found
262,El Paujil,CO,87.13,overcast clouds,1.5701,-75.3286,Hotel Paujil
266,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,No hotel found
267,Viedma,AR,81.07,broken clouds,-40.8135,-62.9967,Níjar
274,Nauta,PE,81.77,overcast clouds,-4.5061,-73.5757,Hostal Henry
281,Chetumal,MX,82.45,light rain,18.5,-88.3,Hotel Grand Marlon
291,Aureliana,PH,76.39,overcast clouds,10.8885,121.978,La Parola Orchid Beach Resort
292,Puerto Cabezas,NI,79.03,few clouds,14.0351,-83.3888,Hotel Caribe
297,Micheweni,TZ,79.81,scattered clouds,-4.9667,39.8333,No hotel found
304,Cantapoy,PH,76.84,overcast clouds,9.4906,125.4364,No hotel found
307,Makakilo City,US,76.44,scattered clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
309,Samarai,PG,82.44,overcast clouds,-10.6167,150.6667,No hotel found
311,Inhambane,MZ,77.86,clear sky,-23.865,35.3833,Hotel de Inhambane
312,Tucuma,BR,86.54,scattered clouds,-0.1833,-50.05,No hotel found
313,Mayumba,GA,77.27,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
316,Grand-Lahou,CI,79.59,clear sky,5.1367,-5.0242,Cap Lahou
322,Balsas,BR,86.76,overcast clouds,-7.5325,-46.0356,Imperial Hotel
324,Srandakan,ID,77.5,broken clouds,-7.9386,110.2506,No hotel found
325,Mana,GF,81.41,light rain,5.6592,-53.7767,Le Samana
338,Cidreira,BR,76.64,clear sky,-30.1811,-50.2056,Hotel Castelo
339,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Hotel Savoy
340,Paciran,ID,77.14,moderate rain,-6.8767,112.3761,No hotel found
346,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
349,Sao Filipe,CV,77.41,clear sky,14.8961,-24.4956,Bela Vista
352,Nanakuli,US,76.95,scattered clouds,21.3906,-158.1547,No hotel found
353,Ambon,ID,77.23,few clouds,-3.6954,128.1814,Hotel Hero
356,Moranbah,AU,75.06,clear sky,-22.0016,148.0466,No hotel found
361,Totness,SR,81.64,broken clouds,5.8833,-56.3167,No hotel found
363,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
365,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel Argentina 307
367,Pontianak,ID,75.18,light rain,-0.0333,109.3333,Golden Tulip Hotel
369,Wawa,NG,81.68,clear sky,9.9022,4.4192,No hotel found
371,Punta Alta,AR,88.54,clear sky,-38.8759,-62.0736,Gran Hotel
373,Aneho,TG,84.4,clear sky,6.2333,1.6,BECCA hôtel
377,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Hotel Uberlândia
378,Saint-Pierre,RE,76.91,light rain,-21.3393,55.4781,Tropic Hotel
381,Alofi,NU,75.09,light rain,-19.0595,-169.9187,No hotel found
384,Lazaro Cardenas,MX,83.03,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
387,Sao Felix Do Xingu,BR,87.69,overcast clouds,-6.6447,-51.995,Hotel Terraço
392,Rafai,CF,75.49,overcast clouds,4.95,23.9167,No hotel found
